credit_line,city,socioeconomic_level,housing_status,invoice_value,has_disability,age,dependents,gender,income,target,approved_limit,invoice_to_income_ratio,limit_to_income_ratio,age_group,income_category,default
8013,5400,2,1,10.819798284210286,2,35,1,2,1800000,1,13.592368256649284,6.0109957073414325e-06,7.551311502965433e-06,26-35,Medio,0
702,68001,1,1,10.667465913856663,2,41,0,2,1000000,4,0.0,1.0667455246401416e-05,0.0,36-45,Muy Bajo,1
8013,5001,4,2,12.34404603287219,2,35,0,2,1300000,4,0.0,9.495412721122669e-06,0.0,26-35,Muy Bajo,1
25,17380,1,1,11.23195415820989,2,62,1,1,1600000,4,0.0,7.01996696140183e-06,0.0,56-65,Bajo,1
8082,5001,2,1,11.787491902274637,2,19,0,1,1600000,1,14.403297778421797,7.367177834435501e-06,9.002055485228944e-06,18-25,Bajo,0
8013,5088,2,2,12.02809962015364,2,25,0,2,1900000,1,14.866332532446323,6.330575415567486e-06,7.824381425297315e-06,18-25,Medio,0
8013,5001,3,1,11.918397239722838,2,42,2,1,2500000,4,0.0,4.76735698894634e-06,0.0,36-45,Alto,1
8082,5001,2,1,10.475906740307126,2,41,1,1,1900000,1,14.062371417145494,5.5136322245657376e-06,7.4012442188954075e-06,36-45,Medio,0
699,5315,1,1,10.357679330734523,2,19,0,1,2000000,4,0.0,5.178837075948724e-06,0.0,18-25,Medio,1
8082,5360,3,1,13.06096020259415,2,24,0,2,1800000,1,15.319588176962746,7.256084970282877e-06,8.51087759226953e-06,18-25,Medio,0
8013,5837,1,2,11.943551368736893,2,27,0,1,3200000,4,0.0,3.732358636368205e-06,0.0,26-35,Muy Alto,1
8082,5001,3,2,12.206077645517674,2,70,0,2,4000000,1,14.062371417145494,3.0515186484997564e-06,3.5155919753883795e-06,65+,Muy Alto,0
8013,66001,2,1,11.32411087397961,2,32,1,1,2200000,1,14.866332532446323,5.14732078484492e-06,6.75742080682978e-06,26-35,Alto,0
8013,5088,1,1,10.659844246493956,2,33,1,2,2000000,4,0.0,5.329919458287249e-06,0.0,26-35,Medio,1
8013,5045,1,1,11.87750607660493,2,28,0,2,1900000,4,0.0,6.251315697520649e-06,0.0,26-35,Medio,1
8013,5030,2,2,12.504616761811384,2,46,0,2,1500000,4,0.0,8.336405616937178e-06,0.0,46-55,Muy Bajo,1
8013,5585,1,1,12.521153421899765,2,39,0,2,2100000,4,12.765691290604371,5.962451171165997e-06,6.0788977198603104e-06,36-45,Alto,1
8013,5001,1,2,11.705865446224792,2,24,1,2,1300000,1,14.866332532446323,9.004504955169104e-06,1.1435631612934392e-05,18-25,Muy Bajo,0
8013,5001,1,2,10.37511486289796,2,54,0,1,4000000,1,14.866332532446323,2.593778067279973e-06,3.7165822039660297e-06,46-55,Muy Alto,0
