LineaDeCredito,CiudadDeResidencia,Estrato,UstedEsArrendadorOPropietario,ValorFactura,UstedTieneAlgunaDiscapacidad,Edad,PersonasACargo,Genero,IngresoPrincipalMensual,Viabilidad,ValorCupoAprobado
8013,5308,2,2,12.100717685412471,2,38,0,1,1450000,4,14.077875591662238
8013,5347,1,2,11.489124454784276,2,36,0,2,2000000,4,0.0
8082,5001,2,2,11.51293546492023,2,23,0,2,2800000,1,14.914123179965662
699,68001,1,1,11.44016120501539,2,27,0,1,1400000,1,14.978661680269907
25,17380,2,1,11.343109387696558,2,44,0,1,1900000,1,14.866332532446323
699,68547,3,2,12.092355084620854,2,39,1,1,6000000,1,15.319588176962746
699,20614,1,1,10.892991570737689,2,25,1,2,1800000,1,14.978661680269907
702,68855,2,1,11.62857288849619,2,23,0,1,1800000,4,0.0
8013,5001,2,2,12.019279104302788,2,29,2,2,2000000,4,0.0
8013,5045,1,2,12.014706307748982,2,25,1,2,1300000,4,0.0
8013,5001,2,2,11.362323481066714,2,27,0,1,1870000,4,0.0
8013,5001,1,2,10.778977123006351,2,31,1,1,2300000,1,14.077875591662238
8013,5790,1,1,11.992049873165284,2,28,0,2,1600000,4,0.0
8013,5172,1,2,11.23727735967387,2,30,1,1,2200000,1,14.866332532446323
8013,5837,1,2,11.897309929467154,2,36,0,2,1860000,4,13.592368256649284
8013,5001,1,2,11.316143863834073,2,29,0,1,2400000,1,14.866332532446323
8082,5001,2,1,12.611541086966115,2,22,0,2,2500000,4,0.0
8082,5001,2,2,12.206077645517674,2,67,1,2,1400000,1,14.151983508870947
8013,5837,1,2,11.814939344682188,2,42,1,2,1300000,1,14.866332532446323
8082,5001,2,2,11.007087382715277,2,47,1,1,2000000,1,14.845130332288226
699,68001,1,1,11.092138575564253,2,18,0,1,1800000,4,0.0
8013,5001,2,2,12.675907510536026,2,24,1,1,1800000,4,0.0
8082,5001,2,2,10.475906740307126,2,61,0,2,1800000,1,15.176487367510099
8013,5001,2,2,12.225586015309156,2,47,0,1,4000000,1,14.866332532446323
8013,5790,1,1,12.671826632825013,2,27,0,1,1600000,4,12.765691290604371
8013,5890,2,1,12.210408233271998,2,42,1,2,1500000,4,0.0
702,20710,1,1,11.867679565269453,2,18,0,2,4500000,4,0.0
699,68001,1,1,11.264515386408132,2,32,0,1,2300000,4,0.0
8013,5001,2,2,11.695255355062795,2,39,1,2,1300000,4,0.0
8013,5001,2,2,12.899222326086994,2,30,1,1,1500000,4,0.0
8013,5308,2,2,12.328294703023396,2,32,0,2,2000000,1,14.866332532446323
25,17042,3,1,11.750303227512262,2,39,0,2,2700000,1,14.866332532446323
8013,5001,2,1,11.449911115026719,2,19,1,1,1550000,4,0.0
699,20710,2,1,11.335221231911436,2,37,0,1,2500000,4,0.0
8013,5001,2,2,11.187347667846776,2,51,0,1,1700000,1,14.866332532446323
8013,5837,1,2,12.961924635755981,2,61,0,2,1560000,4,0.0
8013,5001,2,2,12.9451917369976,2,67,0,2,2000000,4,0.0
8013,5284,1,2,15.063288550659598,2,45,1,1,1800000,4,0.0
8013,27150,1,2,11.958943731465453,2,33,1,1,2400000,4,0.0
702,68001,3,2,10.798881458697299,2,47,0,2,7000000,1,14.062371417145494
8013,5001,2,2,11.55766935877962,2,21,0,1,1300000,4,0.0
8013,5172,1,2,15.134139380586614,2,46,1,2,1300000,4,0.0
