LineaDeCredito,CiudadDeResidencia,Estrato,UstedEsArrendadorOPropietario,ValorFactura,UstedTieneAlgunaDiscapacidad,Edad,PersonasACargo,Genero,IngresoPrincipalMensual,Viabilidad,ValorCupoAprobado
8013,5001,2,1,110054,2,58,0,2,1300000,1,1300000
8013,5045,1,2,160438,2,34,0,2,2500000,1,1300000
8013,5001,2,2,313440,2,26,1,2,1600000,4,1300000
8013,5045,1,2,67839,2,36,0,2,2500000,4,0
699,68001,3,1,23215,2,21,0,2,1600000,4,0
8013,5001,2,1,40000,2,43,1,2,1400000,3,0
8013,5001,2,1,282861,2,26,0,1,1800000,4,0
8013,5001,2,1,157179,2,44,0,1,1800000,4,1300000
8013,5045,2,1,214758,2,27,0,1,2000000,4,0
702,68307,3,1,169799,2,50,1,1,2000000,4,0
699,68001,1,1,21722,2,29,0,2,2500000,1,2100000
8013,5045,1,2,67839,2,39,0,2,2400000,4,0
8013,5001,2,2,15000,2,66,1,2,1500000,1,2860000
8013,5001,2,2,50000,2,62,0,2,1800000,3,0
702,54385,1,1,22644,2,50,0,1,3500000,1,1900000
8013,5001,1,2,74309,2,23,0,2,1700000,4,0
702,68001,3,1,156186,2,29,0,2,1900000,1,3200000
8013,5088,2,1,189186,2,26,1,1,1500000,4,0
8082,5001,2,2,160000,2,61,0,2,1900000,4,0
8013,5001,2,1,176510,2,20,0,1,1450000,4,1300000
8013,5001,1,2,158078,2,27,0,1,2500000,4,1300000
702,68276,3,2,446129,2,33,1,1,2500000,3,0
699,68307,1,1,170635,2,23,0,2,2000000,4,0
25,17380,1,1,221121,2,31,0,2,1800000,1,2860000
699,68276,2,1,97874,2,25,1,2,2000000,4,0
8082,5001,1,2,200000,2,48,0,2,1800000,1,10000000
25,17380,3,1,554441,2,39,2,2,1500000,4,0
8013,5088,3,1,290583,2,35,1,1,2000000,4,0
699,68276,3,1,126485,2,34,0,1,2300000,1,1280000
8013,5001,1,2,279672,2,42,1,2,1850000,4,1300000
8013,5001,2,2,481084,2,29,1,2,1800000,4,1300000
8082,5001,1,1,432323,2,46,1,1,3900000,4,1300000
8082,5001,1,2,80000,2,25,0,1,2500000,4,1300000
8013,5001,1,1,70797,2,20,0,2,1800000,4,1300000
8013,5088,1,1,201850,2,29,1,1,1680000,4,5000000
699,68547,2,1,62597,2,42,0,2,2000000,1,3900000
699,68001,2,1,142275,2,29,0,1,2500000,4,0
8082,5001,1,2,280000,2,60,0,2,3400000,4,0
8013,5234,3,2,180000,2,47,1,2,3000000,1,1300000
8013,5001,2,2,38000,2,45,0,2,1600000,4,0
8013,5001,1,1,4000,2,61,0,2,1450000,4,0
8013,5001,3,1,370775,2,42,0,1,1850000,4,0
8013,5360,3,2,622942,2,39,0,2,3000000,4,0
8082,5001,2,1,232322,2,49,0,2,1300000,1,10000000
101,63401,2,1,97392,2,27,0,2,1500000,1,1400000
699,68679,2,1,99458,2,31,1,2,1800000,1,1280000
702,68307,3,1,40000,2,59,0,2,2000000,4,0
699,68575,1,1,67205,2,37,0,2,2000000,4,0
8082,5001,2,2,100000,2,20,0,1,2400000,4,1300000
8082,5001,3,1,200000,2,35,0,2,2650000,1,10000000
8013,5172,1,2,149662,2,21,1,2,1300000,4,0
8082,5001,3,2,200000,2,58,0,2,1450000,1,10000000
8082,5001,1,1,70000,2,26,0,1,2400000,4,0
8013,5001,2,2,8000,2,42,2,1,2000000,3,0
699,20770,2,1,67946,2,43,0,2,2000000,1,1280000
699,68276,2,1,81113,2,23,0,1,2000000,1,1280000
702,68276,3,1,40000,2,36,0,2,2000000,1,3100000
702,68001,3,1,201000,2,29,0,2,2200000,4,0
8013,68001,3,1,17115,2,43,0,1,1800000,4,0
8013,5154,2,2,200000,2,39,1,1,1500000,1,2860000
702,68001,3,1,156186,2,34,0,1,1800000,4,0
8082,5001,1,2,60000,2,36,0,1,2500000,4,1300000
8013,5001,2,2,138456,2,41,0,2,1300000,4,1300000
699,68001,1,1,87430,2,39,0,1,2000000,1,1280000
8013,5001,2,2,5000,2,49,0,2,1500000,4,0
8013,5411,2,1,14153,2,33,2,2,1500000,4,0
699,68679,2,1,135680,2,40,1,2,2200000,1,1280000
8082,5001,2,2,200000,2,52,1,2,2800000,4,0
8013,5001,2,1,266691,2,23,0,1,1600000,1,2860000
8013,5360,2,1,420149,2,28,0,1,1900000,4,0
8013,5360,3,2,622942,2,59,0,2,3000000,4,0
8013,5001,1,2,418925,2,24,0,2,1550000,4,5000000
8013,5001,2,1,52600,2,36,1,1,1380000,4,0
25,66682,2,1,38312,2,21,0,1,1700000,4,0
699,68276,2,1,81113,2,18,0,2,1300000,4,0
8013,5001,1,1,44774,2,32,0,2,1300000,1,1300000
8082,5001,2,2,80000,2,25,0,1,2100000,4,1300000
8013,5001,1,1,2376424,2,47,1,2,1380000,4,1300000
8082,5001,3,1,180000,2,37,0,2,1400000,4,0
8082,5001,2,2,200000,2,29,2,1,3600000,4,0
8082,5001,2,2,200000,2,36,1,2,1800000,4,1300000
8013,5615,3,1,28638,2,39,0,1,1850000,4,0
8082,5001,2,2,323230,2,53,0,2,1300000,4,0
8013,5001,1,1,27000,2,26,0,2,1700000,4,0
8013,5250,1,1,10000,2,43,2,2,1800000,1,1300000
702,68276,2,1,86770,2,41,0,2,1500000,4,0
8013,5001,2,2,373842,2,28,0,1,1600000,4,1300000
8013,5001,1,1,300594,2,34,2,1,1500000,4,0
8082,5001,3,2,400000,2,33,0,1,4000000,1,5000000
699,68001,1,1,13260,2,28,0,1,2000000,4,0
8013,5001,2,2,173000,2,66,0,2,1200000,4,0
8013,5001,1,1,23194,2,58,0,2,1300000,4,1300000
8013,5001,2,2,95615,2,30,0,2,1500000,4,0
8082,5001,2,2,90000,2,28,0,1,2100000,1,10000000
699,68276,3,1,212266,2,64,0,2,2000000,1,1280000
8013,5001,2,1,251481,2,44,2,2,1800000,4,1300000
8082,5001,2,1,100000,2,46,2,1,4200000,4,1300000
8013,5088,2,1,50000,2,28,1,1,1800000,4,0
8013,17380,2,1,300000,2,42,1,1,1680000,4,0
8082,5001,2,2,200000,2,47,1,1,7000000,1,10000000
702,68276,2,1,86770,2,20,0,1,1500000,4,0
699,68573,2,1,87217,2,52,1,1,2700000,1,1280000
8013,5001,1,2,99437,2,56,0,2,1800000,4,0
8013,5030,2,2,255156,2,18,0,1,1300000,3,0
8082,5001,2,2,289000,2,43,0,2,2000000,4,0
8082,5001,3,2,300000,2,20,0,1,2000000,1,5000000
8013,5001,2,2,160452,2,30,0,2,1700000,4,1300000
8013,5001,1,1,27000,2,23,0,2,1600000,4,0
8082,5001,3,2,120000,2,31,2,2,2650000,4,1300000
702,68307,2,2,76070,2,65,0,2,2200000,1,1300000
25,0,1,1,123803,2,29,2,2,1200000,1,2860000
699,68001,1,1,35399,2,20,0,2,2000000,1,0
702,68307,1,1,43426,2,53,0,1,2200000,1,1300000
8082,5001,2,2,200000,2,49,1,2,3500000,1,10000000
702,68001,1,1,42935,2,41,0,2,1000000,4,0
8082,5001,1,1,80000,2,41,1,1,1800000,1,10000000
8013,5001,1,2,10000,2,36,0,1,1870000,4,0
702,20710,1,1,75271,2,43,0,1,4500000,1,1100000
25,66682,2,1,39155,2,36,0,2,2600000,4,0
8082,5001,2,2,213232,2,47,1,1,24500000,4,0
8082,5001,2,2,200000,2,54,1,2,2100000,1,2860000
8082,5001,1,2,134000,2,53,0,1,1900000,3,0
8013,5001,2,2,202856,2,27,0,1,1800000,4,0
702,68001,1,1,46071,2,26,0,1,1800000,4,0
8013,5837,1,1,10000,2,22,1,2,6000000,1,1300000
8013,5001,1,2,128260,2,42,0,2,2500000,4,0
8013,5088,2,1,50000,2,41,1,2,1380000,4,1300000
8013,5001,1,1,100000,2,19,0,2,1600000,3,0
8082,5001,2,2,100000,2,18,0,2,3800000,3,0
8082,5001,3,2,614237,2,47,0,2,3000000,3,0
702,68001,1,1,46071,2,35,0,1,1800000,4,0
